City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
6137462,saint-augustin,51.226,-58.6502,25.61,80.0,91.0,17.0,CA,1644447616,2022-02-09 23:00:16
3420768,qasigiannguit,68.8193,-51.1922,17.85,92.0,100.0,7.85,GL,1644447618,2022-02-09 23:00:18
2194098,ahipara,-35.1667,173.1667,77.88,74.0,89.0,9.84,NZ,1644447620,2022-02-09 23:00:20
2663293,vetlanda,57.4289,15.0776,35.62,78.0,31.0,14.03,SE,1644447621,2022-02-09 23:00:21
3691954,sechura,-5.5569,-80.8222,77.81,57.0,100.0,16.42,PE,1644447625,2022-02-09 23:00:25
2071860,esperance,-33.8667,121.9,62.44,80.0,14.0,12.06,AU,1644447626,2022-02-09 23:00:26
3397967,itaituba,-4.2761,-55.9836,73.78,99.0,98.0,1.77,BR,1644447627,2022-02-09 23:00:27
2447513,arlit,18.7369,7.3853,66.72,9.0,0.0,7.83,NE,1644447629,2022-02-09 23:00:29
797213,pervomayskoye,43.919,46.7102,41.72,88.0,76.0,13.62,RU,1644447629,2022-02-09 23:00:29
3393471,oriximina,-1.7656,-55.8661,76.57,91.0,78.0,0.43,BR,1644447630,2022-02-09 23:00:30
1805833,jiexiu,37.0244,111.9125,29.62,45.0,1.0,1.68,CN,1644447630,2022-02-09 23:00:30
3038230,alencon,48.4333,0.0833,41.79,92.0,42.0,4.47,FR,1644447631,2022-02-09 23:00:31
3359638,walvis bay,-22.9575,14.5053,68.09,88.0,0.0,3.44,NA,1644447432,2022-02-09 22:57:12
5367788,lompoc,34.6391,-120.4579,86.68,18.0,0.0,3.0,US,1644447514,2022-02-09 22:58:34
3466980,caravelas,-17.7125,-39.2481,77.95,85.0,3.0,6.93,BR,1644447632,2022-02-09 23:00:32
2611738,thyboron,56.6985,8.2124,41.09,79.0,95.0,22.77,DK,1644447632,2022-02-09 23:00:32
6255012,flinders,-34.5833,150.8552,86.05,53.0,21.0,1.7,AU,1644447633,2022-02-09 23:00:33
4031637,lavrentiya,65.5833,-171.0,-23.19,93.0,59.0,7.14,RU,1644447633,2022-02-09 23:00:33
5850554,makakilo city,21.3469,-158.0858,79.68,54.0,6.0,7.36,US,1644447478,2022-02-09 22:57:58
2873574,marienheide,51.0833,7.5333,44.67,88.0,88.0,3.44,DE,1644447634,2022-02-09 23:00:34
